transaction_id,account_id,transaction_date,amount,transaction_type,description,source
TXN-0001,ACC-004,2024-01-18,282.0,Deposit,ACH Credit,SYSTEM
TXN-0002,ACC-002,2024-01-28,41.43,Deposit,Wire In,SYSTEM
TXN-0004,ACC-001,2024-01-21,-810.53,Fee,Wire Fee,SYSTEM
TXN-0006,ACC-010,2024-02-03,-848.17,Fee,Monthly Service Fee,SYSTEM
TXN-0007,ACC-007,2024-01-11,-972.41,Fee,Wire Fee,SYSTEM
TXN-0008,ACC-006,2024-03-14,6566.06,Transfer,Internal Transfer,SYSTEM
TXN-0009,ACC-005,2024-01-11,235.39,Deposit,Wire In,SYSTEM
TXN-0010,ACC-006,2024-01-21,458.42,Deposit,Check Deposit,SYSTEM
TXN-0011,ACC-002,2024-03-18,274.04,Transfer,Internal Transfer,SYSTEM
TXN-0012,ACC-009,2024-01-29,-385.28,Withdrawal,ACH Debit,SYSTEM
TXN-0013,ACC-006,2024-02-21,41.75,Deposit,Check Deposit,SYSTEM
TXN-0014,ACC-006,2024-01-28,942.54,Deposit,Cash Deposit,SYSTEM
TXN-0015,ACC-003,2024-02-03,-6785.02,Fee,Monthly Service Fee,SYSTEM
TXN-0016,ACC-010,2024-02-24,-5850.26,Withdrawal,Check Paid,SYSTEM
TXN-0017,ACC-009,2024-03-04,996.56,Transfer,Internal Transfer,SYSTEM
TXN-0018,ACC-003,2024-03-28,2375.42,Deposit,Cash Deposit,SYSTEM
TXN-0019,ACC-008,2024-03-08,599.33,Deposit,Check Deposit,SYSTEM
TXN-0020,ACC-009,2024-02-04,2030.85,Deposit,Check Deposit,SYSTEM
TXN-0021,ACC-001,2024-02-03,166.42,Deposit,Wire In,SYSTEM
TXN-0022,ACC-009,2024-03-18,3724.66,Deposit,Wire In,SYSTEM
TXN-0023,ACC-009,2024-01-01,-169.77,Withdrawal,ACH Debit,SYSTEM
TXN-0024,ACC-005,2024-01-31,-928.88,Fee,Monthly Service Fee,SYSTEM
TXN-0025,ACC-002,2024-03-03,-9521.6,Withdrawal,ATM Withdrawal,SYSTEM
TXN-0026,ACC-009,2024-01-22,-503.57,Withdrawal,ACH Debit,SYSTEM
TXN-0027,ACC-004,2024-02-09,-47156.54,Fee,Overdraft Fee,SYSTEM
TXN-0028,ACC-002,2024-02-01,455.42,Transfer,Internal Transfer,SYSTEM
TXN-0029,ACC-004,2024-03-16,591.84,Deposit,Wire In,SYSTEM
TXN-0030,ACC-004,2024-01-09,634.16,Deposit,ACH Credit,SYSTEM
TXN-0031,ACC-008,2024-01-28,245.39,Transfer,Internal Transfer,SYSTEM
TXN-0032,ACC-007,2024-01-25,-477.77,Fee,Monthly Service Fee,SYSTEM
TXN-0033,ACC-007,2024-02-29,4188.32,Deposit,ACH Credit,SYSTEM
TXN-0034,ACC-002,2024-02-01,730.2,Deposit,Wire In,SYSTEM
TXN-0035,ACC-003,2024-02-05,-148.64,Withdrawal,Check Paid,SYSTEM
TXN-0036,ACC-009,2024-01-13,-1678.39,Withdrawal,ATM Withdrawal,SYSTEM
TXN-0037,ACC-004,2024-01-22,50723.46,Deposit,Cash Deposit,SYSTEM
TXN-0038,ACC-001,2024-01-22,-865.14,Fee,Overdraft Fee,SYSTEM
TXN-0040,ACC-001,2024-03-15,-303.44,Fee,Wire Fee,SYSTEM
TXN-0041,ACC-010,2024-03-02,1514.43,Deposit,Wire In,SYSTEM
TXN-0042,ACC-003,2024-01-09,13204.46,Deposit,ACH Credit,SYSTEM
TXN-0043,ACC-010,2024-02-01,-806.41,Withdrawal,ATM Withdrawal,SYSTEM
TXN-0044,ACC-009,2024-02-10,587.25,Deposit,Check Deposit,SYSTEM
TXN-0045,ACC-005,2024-02-20,-3827.34,Withdrawal,Wire Out,SYSTEM
TXN-0046,ACC-002,2024-01-02,928.8,Transfer,Interbank Transfer,SYSTEM
TXN-0047,ACC-005,2024-01-17,220.81,Deposit,Check Deposit,SYSTEM
TXN-0048,ACC-003,2024-02-26,4325.37,Deposit,Check Deposit,SYSTEM
TXN-0050,ACC-003,2024-02-04,7681.01,Deposit,Check Deposit,SYSTEM
TXN-0051,ACC-005,2024-03-05,-2832.17,Withdrawal,Check Paid,SYSTEM
TXN-0052,ACC-002,2024-03-22,43844.15,Transfer,Interbank Transfer,SYSTEM
TXN-0053,ACC-003,2024-03-22,339.89,Transfer,Interbank Transfer,SYSTEM
TXN-0054,ACC-007,2024-03-12,-5964.57,Withdrawal,ATM Withdrawal,SYSTEM
TXN-0055,ACC-003,2024-03-10,883.39,Deposit,ACH Credit,SYSTEM
TXN-0056,ACC-003,2024-01-06,156.46,Transfer,Interbank Transfer,SYSTEM
TXN-0057,ACC-001,2024-02-15,8164.3,Transfer,Internal Transfer,SYSTEM
TXN-0059,ACC-003,2024-02-22,-9784.88,Withdrawal,ATM Withdrawal,SYSTEM
TXN-0060,ACC-007,2024-03-29,-3989.34,Withdrawal,Wire Out,SYSTEM
TXN-0061,ACC-007,2024-01-05,703.56,Transfer,Interbank Transfer,SYSTEM
TXN-0062,ACC-006,2024-02-09,-918.35,Withdrawal,Wire Out,SYSTEM
TXN-0064,ACC-009,2024-02-12,513.8,Transfer,Internal Transfer,SYSTEM
TXN-0065,ACC-010,2024-02-03,3350.68,Deposit,ACH Credit,SYSTEM
TXN-0066,ACC-006,2024-02-25,351.88,Deposit,ACH Credit,SYSTEM
TXN-0067,ACC-001,2024-03-31,-2566.19,Fee,Overdraft Fee,SYSTEM
TXN-0068,ACC-004,2024-02-16,807.64,Deposit,Cash Deposit,SYSTEM
TXN-0069,ACC-010,2024-02-10,46830.83,Deposit,ACH Credit,SYSTEM
TXN-0070,ACC-006,2024-02-21,669.56,Transfer,Interbank Transfer,SYSTEM
TXN-0071,ACC-007,2024-03-27,-667.62,Withdrawal,Wire Out,SYSTEM
TXN-0072,ACC-005,2024-02-02,834.55,Transfer,Internal Transfer,SYSTEM
TXN-0073,ACC-006,2024-02-29,-6905.56,Fee,Overdraft Fee,SYSTEM
TXN-0074,ACC-003,2024-03-25,-5600.05,Fee,Monthly Service Fee,SYSTEM
TXN-0075,ACC-006,2024-01-12,635.98,Transfer,Internal Transfer,SYSTEM
TXN-0076,ACC-001,2024-01-06,206.94,Transfer,Internal Transfer,SYSTEM
TXN-0077,ACC-008,2024-02-23,-7915.64,Fee,Wire Fee,SYSTEM
TXN-0078,ACC-007,2024-02-01,-4455.42,Withdrawal,Wire Out,SYSTEM
TXN-0079,ACC-002,2024-02-24,8743.1,Deposit,Wire In,SYSTEM
TXN-0080,ACC-008,2024-01-03,-7262.51,Withdrawal,Wire Out,SYSTEM
TXN-0081,ACC-009,2024-03-12,734.44,Deposit,Check Deposit,SYSTEM
TXN-0082,ACC-009,2024-02-24,-7472.75,Fee,Wire Fee,SYSTEM
TXN-0083,ACC-008,2024-02-27,-7692.16,Fee,Overdraft Fee,SYSTEM
TXN-0084,ACC-009,2024-03-03,-3495.52,Withdrawal,Wire Out,SYSTEM
TXN-0085,ACC-004,2024-02-04,715.7,Transfer,Interbank Transfer,SYSTEM
TXN-0086,ACC-003,2024-01-30,1725.12,Transfer,Interbank Transfer,SYSTEM
TXN-0087,ACC-007,2024-02-12,-1578.0,Withdrawal,Check Paid,SYSTEM
TXN-0088,ACC-007,2024-03-15,-833.73,Fee,Wire Fee,SYSTEM
TXN-0089,ACC-007,2024-03-02,7889.59,Deposit,ACH Credit,SYSTEM
TXN-0090,ACC-007,2024-03-09,395.7,Transfer,Internal Transfer,SYSTEM
TXN-0091,ACC-001,2024-02-19,-441.04,Fee,Overdraft Fee,SYSTEM
TXN-0092,ACC-003,2024-03-24,-8563.71,Fee,Wire Fee,SYSTEM
TXN-0093,ACC-001,2024-01-11,33675.71,Deposit,Cash Deposit,SYSTEM
TXN-0094,ACC-005,2024-02-18,-2635.38,Withdrawal,ACH Debit,SYSTEM
TXN-0095,ACC-007,2024-02-01,-343.79,Withdrawal,Check Paid,SYSTEM
TXN-0096,ACC-009,2024-01-07,5232.29,Transfer,Interbank Transfer,SYSTEM
TXN-0097,ACC-001,2023-12-31,-8030.32,Withdrawal,Wire Out,SYSTEM
TXN-0098,ACC-004,2024-01-17,-6591.4,Withdrawal,Check Paid,SYSTEM
TXN-0099,ACC-005,2024-02-17,225.57,Deposit,Wire In,SYSTEM
TXN-0100,ACC-005,2024-01-14,2473.73,Deposit,ACH Credit,SYSTEM
TXN-0200,ACC-008,2024-01-16,6092.83,Transfer,System Adjustment,SYSTEM
TXN-0201,ACC-004,2024-02-14,664.24,Transfer,System Adjustment,SYSTEM
TXN-0202,ACC-002,2024-03-05,1113.86,Transfer,System Adjustment,SYSTEM
TXN-0203,ACC-007,2024-03-03,960.22,Transfer,System Adjustment,SYSTEM
