risk_id,risk_name,risk_category,business_unit,description,likelihood_score,impact_score,velocity_score,control_effectiveness,regulatory_attention,trend_direction,owner,mitigation_status,last_review_date,next_review_date,inherent_risk,residual_risk,risk_status,priority_flag
ER-001,Ransomware Attack on Core Banking Systems,Cybersecurity,IT / Technology,"Threat actors deploy ransomware targeting core banking infrastructure, causing prolonged outages and potential data exfiltration.",4,5,5,0.55,High,Increasing,Chief Information Security Officer,In Progress,2025-12-15,2026-03-15,20,9.0,Escalate,True
ER-002,Third-Party API Breach via Vendor Integration,Cybersecurity,Operations,A compromised third-party fintech API exposes customer account data and enables unauthorized fund transfers.,3,4,4,0.5,High,Increasing,Head of Third-Party Risk,In Progress,2025-11-01,2026-02-01,12,6.0,Watchlist,False
ER-003,AI-Powered Phishing and Social Engineering,Cybersecurity,Retail Banking,"Generative AI enables hyper-personalised phishing campaigns targeting employees and customers, increasing credential theft.",4,3,4,0.45,Medium,Increasing,Chief Information Security Officer,In Progress,2026-01-10,2026-04-10,12,6.6,Watchlist,False
ER-004,Basel IV Capital Requirements Implementation,Regulatory / Compliance,Risk Management,"Revised Basel IV output floors require higher risk-weighted assets, potentially constraining lending capacity and ROE.",5,4,2,0.65,High,Stable,Chief Risk Officer,In Progress,2025-10-20,2026-04-20,20,7.0,Watchlist,False
ER-005,Digital Asset Regulatory Uncertainty,Regulatory / Compliance,Compliance,Rapidly evolving global crypto/digital-asset regulations create compliance gaps and potential enforcement actions.,4,3,3,0.4,High,Increasing,Chief Compliance Officer,In Progress,2026-01-05,2026-04-05,12,7.2,Watchlist,False
ER-006,Consumer Protection Rule Changes (CFPB),Regulatory / Compliance,Retail Banking,New CFPB rulemaking on overdraft fees and credit card late charges reduces fee income and requires product redesign.,4,3,2,0.6,High,Stable,Chief Compliance Officer,In Progress,2025-11-15,2026-02-15,12,4.8,Monitor,False
ER-007,Physical Climate Risk in Mortgage Portfolio,Climate / ESG,Retail Banking,Increased frequency of floods and wildfires impairs collateral values and drives mortgage defaults in exposed geographies.,3,5,2,0.35,High,Increasing,Head of Credit Risk,Not Started,2025-09-30,2026-03-30,15,9.75,Escalate,True
ER-008,Transition Risk from Carbon Pricing Legislation,Climate / ESG,Investment Banking,Carbon tax legislation impairs the credit quality of carbon-intensive borrowers and strands assets in the loan book.,3,4,2,0.4,High,Increasing,Chief Sustainability Officer,In Progress,2025-12-01,2026-06-01,12,7.2,Watchlist,False
ER-009,Greenwashing Enforcement and Reputational Risk,Climate / ESG,Asset Management,Regulators increase scrutiny of ESG fund labelling; misleading disclosures expose the firm to fines and reputational damage.,3,3,3,0.55,Medium,Increasing,Chief Compliance Officer,In Progress,2026-01-20,2026-04-20,9,4.05,Monitor,False
ER-010,US–China Trade War Escalation,Geopolitical,Investment Banking,"Escalating tariffs and export controls disrupt global supply chains, compress corporate margins, and increase credit losses.",4,4,3,0.3,Medium,Increasing,Head of Country Risk,In Progress,2026-02-01,2026-05-01,16,11.2,Escalate,True
ER-011,Sanctions Evasion and Correspondent Banking Risk,Geopolitical,Compliance,State-sponsored actors exploit shell companies to evade sanctions; exposure risks severe regulatory penalties.,3,5,4,0.6,High,Stable,Chief Compliance Officer,In Progress,2025-10-10,2026-01-10,15,6.0,Watchlist,False
ER-012,Middle East Conflict Spillover on Energy Markets,Geopolitical,Treasury,"Regional conflict causes oil price spikes that accelerate inflation, pressure central bank policy, and squeeze margins.",3,3,4,0.25,Low,Stable,Head of Market Risk,Not Started,2025-12-10,2026-03-10,9,6.75,Watchlist,False
ER-013,Algorithmic Model Bias in Credit Decisioning,Technology / AI,Retail Banking,"ML credit models exhibit disparate impact on protected classes, triggering fair-lending enforcement and class-action litigation.",3,4,3,0.5,High,Increasing,Chief Data Officer,In Progress,2026-01-15,2026-04-15,12,6.0,Watchlist,False
ER-014,Core System Modernisation Programme Overrun,Technology / AI,IT / Technology,"Legacy core-banking migration faces cost overruns and delays, increasing operational risk and diverting strategic investment.",4,4,2,0.45,Medium,Stable,Chief Technology Officer,In Progress,2025-11-20,2026-02-20,16,8.8,Watchlist,False
ER-015,Quantum Computing Threat to Encryption,Technology / AI,IT / Technology,Advances in quantum computing threaten RSA/ECC encryption used to protect transactions and customer data.,2,5,2,0.7,Medium,Increasing,Chief Information Security Officer,Not Started,2025-09-01,2026-09-01,10,3.0,Monitor,False
ER-016,Commercial Real Estate Valuation Collapse,Market Risk,Investment Banking,"Persistent remote-work trends depress office valuations, generating mark-to-market losses and covenant breaches in CRE loan portfolio.",4,4,2,0.45,High,Increasing,Head of Credit Risk,In Progress,2026-02-05,2026-05-05,16,8.8,Watchlist,False
ER-017,Interest Rate Volatility and NIM Compression,Market Risk,Treasury,"Unexpected rate cuts compress net interest margins faster than liability repricing, pressuring earnings guidance.",3,4,3,0.6,Medium,Stable,Head of Market Risk,In Progress,2026-01-25,2026-04-25,12,4.8,Monitor,False
ER-018,Liquidity Crunch from Deposit Outflows,Market Risk,Treasury,"Social-media-amplified bank-run dynamics cause rapid deposit outflows, straining liquidity coverage ratios.",2,5,5,0.65,High,Stable,Chief Financial Officer,In Progress,2025-12-20,2026-03-20,10,3.5,Monitor,False
ER-019,Critical Cloud Provider Outage,Operational Risk,IT / Technology,"Over-reliance on a single hyperscaler cloud provider means a major outage halts payments, trading, and customer access.",3,5,5,0.5,High,Stable,Chief Technology Officer,In Progress,2026-01-08,2026-04-08,15,7.5,Watchlist,False
ER-020,Talent Attrition in Risk and Compliance Functions,Operational Risk,Human Resources,"High turnover among risk, compliance, and audit professionals creates knowledge gaps and weakens the control environment.",4,3,2,0.4,Low,Increasing,Chief Human Resources Officer,In Progress,2025-11-05,2026-02-05,12,7.2,Watchlist,False
ER-021,Payment Processing Fraud via Synthetic Identities,Operational Risk,Retail Banking,"Fraudsters use AI to create synthetic identities that pass KYC checks, enabling large-scale first-party fraud losses.",4,3,4,0.5,Medium,Increasing,Head of Fraud Risk,In Progress,2026-02-10,2026-05-10,12,6.0,Watchlist,False
ER-022,Consumer Credit Deterioration from Stagflation,Credit Risk,Retail Banking,"Prolonged stagflation erodes real household incomes, driving elevated credit-card and personal-loan delinquency rates.",3,4,2,0.55,Medium,Increasing,Head of Credit Risk,In Progress,2026-01-30,2026-04-30,12,5.4,Monitor,False
ER-023,Leveraged Loan Portfolio Stress,Credit Risk,Investment Banking,Rising defaults among highly leveraged borrowers generate mark-to-market losses and increased provision charges.,3,4,3,0.5,High,Stable,Head of Credit Risk,In Progress,2025-12-05,2026-03-05,12,6.0,Watchlist,False
ER-024,Sovereign Debt Contagion in Emerging Markets,Credit Risk,Investment Banking,"Debt restructurings in key EM economies trigger contagion, causing credit spread widening and write-downs in EM exposure.",2,4,4,0.45,Medium,Stable,Head of Country Risk,Not Started,2025-10-25,2026-04-25,8,4.4,Monitor,False
ER-025,Critical Vendor Insolvency (Payment Rail Provider),Third-Party / Vendor,Operations,Insolvency of a key payment-rail technology vendor disrupts domestic transaction processing for retail and corporate clients.,2,5,4,0.4,High,Stable,Head of Third-Party Risk,Not Started,2025-09-15,2026-03-15,10,6.0,Watchlist,False
ER-026,Data Localisation Laws Impacting Cloud Strategy,Third-Party / Vendor,IT / Technology,New data-residency requirements in multiple jurisdictions force costly infrastructure changes and limit cloud provider choice.,4,3,2,0.5,Medium,Increasing,Chief Technology Officer,In Progress,2026-01-12,2026-04-12,12,6.0,Watchlist,False
ER-027,Fintech Disintermediation of Retail Deposits,Strategic Risk,Corporate Strategy,"High-yield fintech savings products accelerate deposit migration from incumbent banks, raising funding costs and reducing the core deposit franchise.",4,3,3,0.35,Low,Increasing,Chief Strategy Officer,In Progress,2026-02-15,2026-05-15,12,7.8,Watchlist,False
ER-028,Generative AI Adoption without Governance Framework,Strategic Risk,Corporate Strategy,"Rapid internal deployment of GenAI tools outpaces governance, creating model-risk, IP, and data-privacy exposures.",4,4,4,0.3,High,Increasing,Chief Risk Officer,In Progress,2026-02-20,2026-05-20,16,11.2,Escalate,True
ER-029,Mis-selling Risk in Structured Products,Conduct / Legal,Investment Banking,"Complex structured notes are sold to retail investors without adequate suitability assessment, risking FCA enforcement and class-action redress.",3,4,2,0.55,High,Stable,Chief Compliance Officer,In Progress,2025-11-25,2026-02-25,12,5.4,Monitor,False
ER-030,Insider Threat and Data Theft by Departing Staff,Conduct / Legal,Human Resources,"Departing employees exfiltrate sensitive client data or intellectual property, leading to regulatory investigations and litigation.",3,3,3,0.6,Medium,Stable,Chief Information Security Officer,In Progress,2026-01-22,2026-04-22,9,3.6,Monitor,False
